root_bw,root_ar,sura,sura_name,sura_type,count
Hzn,ح-ز-ن,33,الأحزاب,medinan,1
Hzn,ح-ز-ن,35,فاطر,meccan,1
Hzn,ح-ز-ن,36,يس,meccan,1
Hzn,ح-ز-ن,39,الزمر,meccan,1
Hzn,ح-ز-ن,41,فصلت,meccan,1
Hzn,ح-ز-ن,43,الزخرف,meccan,1
Hzn,ح-ز-ن,46,الأحقاف,meccan,1
Hzn,ح-ز-ن,58,المجادلة,medinan,1
Asf,أ-س-ف,7,الأعراف,meccan,1
Asf,أ-س-ف,12,يوسف,meccan,1
Asf,أ-س-ف,18,الكهف,meccan,1
Asf,أ-س-ف,20,طه,meccan,1
Asf,أ-س-ف,43,الزخرف,meccan,1
nqm,ن-ق-م,3,آل عمران,medinan,1
nqm,ن-ق-م,5,المائدة,medinan,3
nqm,ن-ق-م,7,الأعراف,meccan,2
nqm,ن-ق-م,9,التوبة,medinan,1
nqm,ن-ق-م,14,ابراهيم,meccan,1
nqm,ن-ق-م,15,الحجر,meccan,1
nqm,ن-ق-م,30,الروم,meccan,1
nqm,ن-ق-م,32,السجدة,meccan,1
nqm,ن-ق-م,39,الزمر,meccan,1
nqm,ن-ق-م,43,الزخرف,meccan,3
nqm,ن-ق-م,44,الدخان,meccan,1
nqm,ن-ق-م,85,البروج,meccan,1
sxT,س-خ-ط,3,آل عمران,medinan,1
sxT,س-خ-ط,5,المائدة,medinan,1
sxT,س-خ-ط,9,التوبة,medinan,1
sxT,س-خ-ط,47,محمد,medinan,1
mqt,م-ق-ت,4,النساء,medinan,1
mqt,م-ق-ت,35,فاطر,meccan,1
mqt,م-ق-ت,40,غافر,meccan,3
mqt,م-ق-ت,61,الصف,medinan,1
gDb,غ-ض-ب,1,الفاتحة,meccan,1
gDb,غ-ض-ب,2,البقرة,medinan,3
gDb,غ-ض-ب,3,آل عمران,medinan,1
gDb,غ-ض-ب,4,النساء,medinan,1
gDb,غ-ض-ب,5,المائدة,medinan,1
gDb,غ-ض-ب,7,الأعراف,meccan,4
gDb,غ-ض-ب,8,الأنفال,medinan,1
gDb,غ-ض-ب,16,النحل,meccan,1
gDb,غ-ض-ب,20,طه,meccan,4
